# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,3.440479290755394,180.0,-0.04034886852616663,-24.783842435420226,0.0,0.0
 0.06872104303474068,0.01416774526734804,0.20616312910422202,3.0,3.440479290755394,180.1,-0.04034886852616663,-24.783842435420226,0.0,0.0
 0.09736611515057779,0.02844048113854672,0.4982614745559554,10.197158669055673,3.407604655493347,180.2,-0.03930498988105831,-25.442062268076445,-1.1476541280505879,-40.064626942100794
 0.11946746975382451,0.04281742898814292,0.6505007547132069,6.888233001559432,3.375344967401334,180.3,-0.0383006793349106,-26.109197470252496,-1.4596249266673413,-14.115460532492639
 0.1382001085793399,0.05729781003402402,0.7730027349994937,6.53949405779548,3.343681735050686,180.4,-0.03733406606802575,-26.785188577582666,-1.6902707966332946,-12.312513582005034
 0.15479109076812556,0.07188084534355826,0.8789735980423966,6.387256754125853,3.3125971841314317,180.5,-0.036403385941152354,-27.46997220578721,-1.8735811156656779,-11.048792467289159
 0.169868337092222,0.08656575583943031,0.9739782835810439,6.3011960869015535,3.282074222945466,180.6,-0.03550697374007516,-28.163481554930264,-2.0244387157875328,-10.005646712871854
 0.18380402816151303,0.10135176230519485,1.0610170957612046,6.245747824588414,3.2520964096878022,180.7,-0.034643257025748095,-28.86564618496363,-2.151153689372673,-9.092837445598361
 0.19684010887908265,0.11623808539058737,1.1419324111217877,6.207027795672355,3.2226479216963373,180.8,-0.0338107500086368,-29.576392116251622,-2.2589985924048137,-8.272801110136607
 0.20914424497346143,0.13122394561655776,1.2179530615576313,6.178463067437471,3.193713526367683,180.9,-0.033008048041224244,-30.29564180078401,-2.3515990969795055,-7.525965566733087
 0.22083822388050345,0.1463085633800861,1.2899474065618943,6.156531115419461,3.165278553745319,181.0,-0.032233822599758856,-31.023314002090494,-2.4315908937752857,-6.840425951821197
 0.23201376321157516,0.16149115895879063,1.358555961276237,6.139171692912226,3.1373288705526017,181.1,-0.031486816374738005,-31.759323905553817,-2.50096951607593,-6.208078218448808
 0.24274194289085468,0.17677095251528088,1.4242671183072881,6.125098478539288,3.1098508557357962,181.2,-0.030765838955160954,-32.503582998579354,-2.561293307743194,-5.6229289097174275
 0.2530791471071041,0.19214716410137772,1.4874632699938748,6.113466500666239,3.0828313771932616,181.3,-0.03006976247790378,-33.255999302782385,-2.613809109049197,-5.080271242339563
 0.2630709749998274,0.2076190136620794,1.548450366320792,6.103697639881493,3.056257769919693,181.4,-0.029397518362078028,-34.01647675437706,-2.659534127176244,-4.576241566405157
 0.27275490893193527,0.22318572103940484,1.6074776517952847,6.095382918586722,3.0301178151620882,181.5,-0.02874809260908154,-34.78491646726153,-2.699311554670483,-4.1075690698749785
 0.28216219093282363,0.23884650597603357,1.6647512995942748,6.088224823448642,3.004399720781761,181.6,-0.028120523815926998,-35.561215237164845,-2.733849626055474,-3.6714187351595724
 0.2913191766881625,0.25460058811880637,1.7204441028629534,6.082001736893346,2.9790921025902826,181.7,-0.027513899621081268,-36.34526598453517,-2.763749870062143,-3.2652932750535824
 0.3002483344511422,0.27044718702205467,1.774702533417913,6.076545178753043,2.954183966630434,181.8,-0.026927352553129582,-37.13695945514617,-2.789528040720484,-2.886965528285019
 0.30896899636846964,0.28638552215081814,1.8276519924588424,6.071724777648113,2.9296646924590073,181.9,-0.02636006002551128,-37.93618068518051,-2.8116299432165737,-2.5344294625359116
 0.3174979332656612,0.30241481288389876,1.8794007889023967,6.067438071982245,2.905524017156073,182.0,-0.025811238749300695,-38.74281314867513,-2.830443652465477,-2.205868032051924
 0.32584980104172157,0.31853427851678856,1.9300432029221504,6.063603421131052,2.881752020254439,182.1,-0.025280145092649607,-39.55673499242524,-2.8463090579299326,-1.8996236398679605
 0.334037492039688,0.33474313826449387,1.9796618792442258,6.060154973410572,2.8583391093462716,182.2,-0.02476607137070968,-40.37782113406486,-2.859525464991643,-1.614180000807684
 0.3420724149768222,0.3510406112642258,2.028329721049537,6.0570390265210525,2.8352760064317675,182.3,-0.024268343707376624,-41.205943514638754,-2.8703576991280606,-1.3481441229952986
 0.34996472040192245,0.36742591657798723,2.076111406136231,6.054211350555703,2.8125537349728007,182.4,-0.023786320718318595,-42.04097017954813,-2.8790410703952296,-1.1002325428958895
 0.35772348408374577,0.3838982731950417,2.1230646134570055,6.051635189092457,2.7901636074991885,182.5,-0.023319391711476223,-42.88276522701352,-2.8857854668349643,-0.8692617427612688
 0.36535685753078434,0.4004569000343095,2.1692410248435885,6.049279745968347,2.7680972138842748,182.6,-0.022866974650806636,-43.73118942364004,-2.890778732104909,-0.6541361174831574
 0.37287219255693455,0.417101015946647,2.2146871502631584,6.047119025490751,2.7463464101862254,182.7,-0.022428514670550542,-44.58610009128409,-2.8941894968575093,-0.4538406791888713
 0.38027614515289404,0.4338298397170348,2.2594450131294885,6.045130933274138,2.72490330793238,182.8,-0.022003482883499754,-45.44735055330229,-2.896169576443195,-0.2674354758519814
 0.38757476270894603,0.4506425900666875,2.303552723585524,6.043296571891441,2.7037602640472755,182.9,-0.02159137468164725,-46.31479073215305,-2.896855976180409,-0.09404517114952082
 0.39477355773282047,0.46753848565508566,2.347044961325302,6.041599683771788,2.6829098711247044,183.0,-0.021191708589140993,-47.18826685416096,-2.896372636451234,0.06714175463694029
